HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,FFPTSH,FFHG,FFAG,PSH,SSH,CSH,PSA,SSA,CSA,B365H,B365D,B365A,B365_Pred,T2M_RANGE,QV2M,PRECTOTCORR,PS,WS10M_RANGE,HS,AS,HTR,HF,AF,HY,AY,HR,AR
Huddersfield,Burnley,A,2,8,5,2,0.3355704697986577,1.3025210084033614,0.8823529411764708,1.2080536912751678,1.0,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.6666666666666666,1.6,1.2,1.0,1.8,2.14,3.1,4.2,H,5.71,3.36,0.07,102.13,2.18,9,16,D,11,9,0,4,1,1
Newcastle,Man United,A,3,7,1,2,0.8053691275167785,1.0504201680672272,1.3445378151260505,0.9731543624161074,1.0,1.3333333333333333,2.3333333333333335,1.1333333333333333,0.7333333333333333,1.2666666666666666,2.4,3.4,1.4,6.0,4.2,1.61,A,4.6,3.42,0.05,102.52,1.61,14,16,D,10,9,1,2,0,0
West Ham,Brighton,D,6,6,1,5,1.0738255033557047,1.134453781512605,0.6722689075630253,1.0738255033557047,0.0,0.3333333333333333,2.3333333333333335,1.6,1.4666666666666666,1.2666666666666666,0.8,0.6,1.2,1.95,3.75,4.0,H,6.8,3.78,0.05,103.29,1.97,13,13,D,9,11,0,1,0,0
Wolves,Crystal Palace,A,1,4,3,10,0.9395973154362416,0.8823529411764708,1.3445378151260505,1.0067114093959733,3.0,1.0,0.0,1.4,1.2,1.2,1.4,1.2,1.2,2.0,3.4,4.33,H,6.62,3.48,0.04,103.03,1.99,9,17,D,9,7,4,1,0,0
Man City,Liverpool,H,4,5,2,1,1.912751677852349,0.5042016806722689,1.4285714285714286,0.40268456375838924,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.2666666666666666,2.6666666666666665,0.8666666666666667,3.0,3.6,0.4,2.04,3.8,3.6,H,4.96,3.3,0.0,102.68,1.41,9,7,H,12,7,4,2,0,0
Brighton,Liverpool,A,0,3,2,7,0.6375838926174496,1.1764705882352942,1.4285714285714286,0.40268456375838924,0.0,0.3333333333333333,3.3333333333333335,1.4,1.0666666666666667,1.2,2.4,3.0,0.8,11.0,6.0,1.3,A,4.8,5.86,0.21,101.62,4.05,7,10,D,15,5,0,0,0,0
Burnley,Fulham,H,0,4,2,6,0.8053691275167785,1.3445378151260505,0.5042016806722689,1.5100671140939597,0.0,2.0,4.0,0.9333333333333333,0.9333333333333333,2.1333333333333333,1.0,0.6,1.4,2.4,3.3,3.25,H,1.53,6.16,2.07,99.82,3.36,11,12,H,5,9,1,2,0,0
Cardiff,Huddersfield,D,0,2,3,10,0.7046979865771813,1.596638655462185,0.5042016806722689,1.5100671140939597,1.0,0.0,0.0,1.0666666666666667,1.0666666666666667,1.8,0.0,0.6,2.0,2.25,3.25,3.6,H,2.85,6.29,0.55,101.31,3.88,3,14,D,12,14,3,1,0,0
Chelsea,Newcastle,H,6,2,8,5,1.3087248322147653,0.5042016806722689,0.7563025210084033,0.7718120805369127,2.0,1.6666666666666667,1.6666666666666667,1.8666666666666667,1.6,0.8,1.0,0.4,1.4,1.22,7.0,15.0,H,5.32,5.55,0.17,101.3,3.74,10,9,D,6,13,1,1,0,0
Crystal Palace,Watford,A,6,2,7,7,0.6375838926174496,0.9663865546218489,1.092436974789916,1.0402684563758389,1.3333333333333333,1.0,1.0,1.0,1.0,1.3333333333333333,1.6,2.0,1.6,2.25,3.4,3.5,H,5.32,5.55,0.17,101.3,3.74,15,16,H,11,11,1,4,0,0
Leicester,Southampton,A,6,3,10,3,0.8053691275167785,0.8403361344537815,0.7563025210084033,1.174496644295302,2.3333333333333335,2.0,0.6666666666666666,1.4666666666666666,0.9333333333333333,0.8666666666666667,1.4,1.6,1.6,1.95,3.5,4.33,H,4.84,5.86,0.86,100.85,3.52,23,8,A,7,9,2,1,0,1
West Ham,Arsenal,H,3,2,7,3,1.0738255033557047,1.134453781512605,1.3025210084033614,1.174496644295302,0.3333333333333333,0.6666666666666666,2.3333333333333335,1.6,1.6,1.4,1.4,2.2,2.2,3.5,4.0,2.05,A,5.32,5.55,0.17,101.3,3.74,11,11,D,7,10,0,2,0,0
Everton,Bournemouth,H,3,7,5,9,1.0067114093959733,0.8823529411764708,1.092436974789916,1.5100671140939597,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.4,1.5333333333333334,1.3333333333333333,0.8,1.2,2.8,1.75,4.0,4.8,H,2.25,5.98,0.89,100.61,2.2,15,16,D,17,8,5,0,0,0
Tottenham,Man United,A,11,8,7,4,1.1409395973154361,0.6722689075630253,1.3445378151260505,0.9731543624161074,2.0,1.6666666666666667,0.3333333333333333,2.4,2.2666666666666666,0.9333333333333333,2.4,3.0,1.2,2.05,3.7,3.75,H,5.02,5.98,0.15,100.42,2.55,21,13,A,8,8,1,2,0,0
Man City,Wolves,H,9,0,12,1,1.912751677852349,0.5042016806722689,0.7983193277310925,0.8389261744966443,1.0,1.0,1.0,2.2666666666666666,2.466666666666667,0.9333333333333333,1.4,1.2,1.2,1.18,8.0,17.0,H,2.95,5.25,0.38,100.32,6.1,24,3,H,6,3,1,0,0,1
